Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
164154,"A Canticle for Leibowitz (St. Leibowitz, #1)",Walter M. Miller Jr.,"Jr., Walter M. Miller",Mary Doria Russell,"=""0060892994""","=""9780060892999""",0,3.98,HarperCollins EOS,Paperback,334,2006,1959,,2011/01/17,to-read,to-read (#11),to-read,,,,0,0
38709,"Holes (Holes, #1)",Louis Sachar,"Sachar, Louis",,"=""0439244196""","=""9780439244190""",4,3.99,Scholastic,Paperback,272,2000,1998,,2011/01/17,,,read,,,,1,0
7822895,"The Millennium Trilogy (Millennium Trilogy, #1-3)",Stieg Larsson,"Larsson, Stieg",Reg Keeland,"=""0307594777""","=""9780307594778""",0,4.46,Knopf,Hardcover,1531,2010,2005,,2011/01/17,to-read,to-read (#10),to-read,,,,0,0
6327,The Witches,Roald Dahl,"Dahl, Roald",Quentin Blake,"=""0590032496""","=""9780590032490""",0,4.17,Scholastic Inc.,Paperback,208,1997,1983,,2011/01/17,,,read,,,,1,0
139253,The House on Mango Street,Sandra Cisneros,"Cisneros, Sandra",,"=""0679734775""","=""9780679734772""",4,3.69,Knopf Doubleday Publishing Group,Paperback,110,2009,1984,,2011/01/17,,,read,,,,1,0
6185,Wuthering Heights,Emily Brontë,"Brontë, Emily","Richard J. Dunn, Charlotte Brontë, John Bugg, Robert Heindel","=""""","=""""",0,3.88,Norton,Paperback,464,2002,1847,,2011/01/17,to-read,to-read (#9),to-read,,,,0,0
24178,Charlotte's Web,E.B. White,"White, E.B.","Garth Williams, Rosemary Wells","=""0064410935""","=""9780064410939""",0,4.20,HarperCollinsPublishers,Paperback,184,2001,1952,,2011/01/17,,,read,,,,1,0
807968,"Molly Moon's Incredible Book of Hypnotism (Molly Moon, #1)",Georgia Byng,"Byng, Georgia",,"=""0060514094""","=""9780060514099""",0,3.92,HarperCollins,Paperback,371,2004,2002,,2011/01/17,,,read,,,,1,0
903,The Egypt Game (Game #1),Zilpha Keatley Snyder,"Snyder, Zilpha Keatley",Alton Raible,"=""0808553038""","=""9780808553038""",0,3.83,Turtleback Books,Library Binding,240,2009,1967,,2011/01/17,,,read,,,,1,0
22232,"Stargirl (Stargirl, #1)",Jerry Spinelli,"Spinelli, Jerry",,"=""0439488400""","=""9780439488402""",0,3.77,Scholastic,Paperback,186,2002,2000,,2011/01/17,,,read,,,,1,0
53498,"Love That Dog (Jack, #1)",Sharon Creech,"Creech, Sharon",,"=""0064409597""","=""9780064409599""",0,4.04,HarperCollins Children's Book Group,Paperback,112,2003,2001,,2011/01/17,,,read,,,,1,0
13083,Hoot,Carl Hiaasen,"Hiaasen, Carl",,"=""0440421705""","=""9780440421702""",0,3.83,Yearling,Paperback,304,2006,2002,,2011/01/17,,,read,,,,1,0
766020,The Rainbow Fish,Marcus Pfister,"Pfister, Marcus",,"=""1558580093""","=""9781558580091""",0,4.20,North-South Books,Hardcover,32,1992,1992,,2011/01/17,,,read,,,,1,0
61549,Mr. Popper's Penguins,Richard Atwater,"Atwater, Richard","Florence Atwater, Robert Lawson","=""""","=""""",0,3.97,"Little, Brown and Company",Paperback,139,1992,1938,,2011/01/17,,,read,,,,1,0
139463,Maniac Magee,Jerry Spinelli,"Spinelli, Jerry",,"=""0590452037""","=""9780590452038""",0,3.89,Scholastic,Paperback,184,2002,1990,,2011/01/17,,,read,,,,1,0
65118,"The Hostile Hospital (A Series of Unfortunate Events, #8)",Lemony Snicket,"Snicket, Lemony",Brett Helquist,"=""1405206128""","=""9781405206129""",0,3.99,Egmont,Hardcover,272,2003,2001,,2011/01/17,,,read,,,,1,0
150037,"The Vile Village (A Series of Unfortunate Events, #7)",Lemony Snicket,"Snicket, Lemony",Brett Helquist,"=""0060566221""","=""9780060566227""",0,3.97,HarperCollins Publishers ,Hardcover,272,2001,2001,,2011/01/17,,,read,,,,1,0
172327,"The Ersatz Elevator (A Series of Unfortunate Events, #6)",Lemony Snicket,"Snicket, Lemony",Tim Curry,"=""0060566213""","=""9780060566210""",0,4.05,HarperCollins Publishers ,Hardcover,259,2001,2001,,2011/01/17,,,read,,,,1,0
131123,"The Austere Academy (A Series of Unfortunate Events, #5)",Lemony Snicket,"Snicket, Lemony","Brett Helquist, Michael Kupperman","=""0064408639""","=""9780064408639""",0,4.00,HarperCollins,Hardcover,221,2000,2000,,2011/01/17,,,read,,,,1,0
281235,"Bunnicula (Bunnicula, #1)",Deborah Howe,"Howe, Deborah","James Howe, Victor Garber, Alan Daniel","=""1416928170""","=""9781416928171""",0,3.88,GREAT SOURCE,Paperback,98,2010,1979,,2011/01/17,,,read,,,,1,0
65119,"The Miserable Mill (A Series of Unfortunate Events, #4)",Lemony Snicket,"Snicket, Lemony",Brett Helquist,"=""0439272637""","=""9780439272636""",0,3.86,"Scholastic, Inc.",Paperback,194,2000,2000,,2011/01/17,,,read,,,,1,0
460548,"Go, Dog. Go!",P.D. Eastman,"Eastman, P.D.",,"=""0394800206""","=""9780394800202""",0,4.14,Random House,Hardcover,64,1961,1961,,2011/01/17,,,read,,,,1,0
106264,"Sarah, Plain and Tall (Sarah, Plain and Tall, #1)",Patricia MacLachlan,"MacLachlan, Patricia",,"=""0618062416""","=""9780618062416""",0,3.82,Houghton Mifflin,Paperback,64,2001,1985,,2011/01/17,,,read,,,,1,0
438492,"The Wide Window (A Series of Unfortunate Events, #3)",Lemony Snicket,"Snicket, Lemony",Brett Helquist,"=""0064407683""","=""9780064407687""",0,3.95,HarperCollins Publishers,Hardcover,214,2000,2000,,2011/01/17,,,read,,,,1,0
293595,Chicka Chicka Boom Boom,Bill Martin Jr.,"Jr., Bill Martin","John Archambault, Lois Ehlert","=""068983568X""","=""9780689835681""",0,4.25,Beach Lane Books,Paperback,32,2000,1989,,2011/01/17,,,read,,,,1,0
667234,"The Cat in the Hat Comes Back (The Cat in the Hat, #2)",Dr. Seuss,"Seuss, Dr.",,"=""0394800028""","=""9780394800028""",0,3.90,Begginner Books,Hardcover,63,2000,1958,,2011/01/17,,,read,,,,1,0
78418,"The Reptile Room (A Series of Unfortunate Events, #2)",Lemony Snicket,"Snicket, Lemony",Brett Helquist,"=""""","=""""",0,4.01,"Scholastic, Inc.",Paperback,192,1999,1999,,2011/01/17,,,read,,,,1,0
231850,Corduroy,Don Freeman,"Freeman, Don",,"=""0670241334""","=""9780670241330""",0,4.32,Viking Books for Young Readers,Hardcover,32,1968,1968,,2011/01/17,,,read,,,,1,0
125507,The True Story of the 3 Little Pigs,Jon Scieszka,"Scieszka, Jon",Lane Smith,"=""0140544518""","=""9780140544510""",0,4.32,Puffin Books,Paperback,32,1996,1989,,2011/01/17,,,read,,,,1,0
759611,"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,"Jr., Bill Martin",Eric Carle,"=""0805047905""","=""9780805047905""",0,4.25,Henry Holt and Co.,Board book,24,1996,1967,,2011/01/17,,,read,,,,1,0
2839,Bridge to Terabithia,Katherine Paterson,"Paterson, Katherine",,"=""0439366771""","=""9780439366779""",0,4.04,Trumpet Club Special Edition,Paperback,128,1996,1977,,2011/01/17,,,read,,,,1,0
7770,"One Fish, Two Fish, Red Fish, Blue Fish",Dr. Seuss,"Seuss, Dr.",,"=""0007173687""","=""9780007173686""",0,4.17,Harper Collins Children's Books,Hardcover,64,2003,1960,,2011/01/17,,,read,,,,1,0
4948,The Very Hungry Caterpillar,Eric Carle,"Carle, Eric",,"=""0241003008""","=""9780241003008""",0,4.32,Puffin Books,Board book,26,1994,1969,,2011/01/17,,,read,,,,1,0
32929,Goodnight Moon,Margaret Wise Brown,"Brown, Margaret Wise",Clement Hurd,"=""0060775858""","=""9780060775858""",0,4.30,HarperCollins,Hardcover,32,2007,1947,,2011/01/17,,,read,,,,1,0
239239,The Prestige,Christopher Priest,"Priest, Christopher",,"=""0312858868""","=""9780312858865""",0,3.91,Tom Doherty Associates Tor Books,Paperback,404,1997,1995,,2011/01/17,to-read,to-read (#8),to-read,,,,0,0
931027,Ghost Boy,Iain Lawrence,"Lawrence, Iain",,"=""044041668X""","=""9780440416685""",5,3.74,Laurel Leaf,Mass Market Paperback,340,2002,2000,,2011/01/17,,,read,,,,1,0
100915,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,"Lewis, C.S.","Tormod Haugen, Per Svein Paulsen","=""""","=""""",0,4.23,HarperCollins Publishers,Paperback,206,2005,1950,,2011/01/17,,,read,,,,1,0
23772,Green Eggs and Ham,Dr. Seuss,"Seuss, Dr.",,"=""0394800168""","=""9780394800165""",0,4.31,Random House Books for Young Readers,Hardcover,64,1988,1960,,2011/01/17,,,read,,,,1,0
5292853,"Hunting Ground (Alpha & Omega, #2)",Patricia Briggs,"Briggs, Patricia",,"=""044101738X""","=""9780441017386""",5,4.28,Ace,Mass Market Paperback,286,2009,2009,2011/01/17,2011/01/17,,,read,,,,1,0
7942786,"Fair Game (Alpha & Omega, #3)",Patricia Briggs,"Briggs, Patricia",,"=""1841497967""","=""9781841497969""",0,4.34,Orbit,Paperback,308,2012,2012,,2011/01/17,to-read,to-read (#7),to-read,,,,0,0
2355575,"Cry Wolf (Alpha & Omega, #1)",Patricia Briggs,"Briggs, Patricia",,"=""0441016154""","=""9780441016150""",4,4.12,Ace,Mass Market Paperback,294,2008,2008,2011/01/17,2011/01/10,,,read,,,,1,0
1254951,"The Luxe (Luxe, #1)",Anna Godbersen,"Godbersen, Anna",,"=""0061345660""","=""9780061345661""",0,3.64,HarperCollins,Hardcover,433,2007,2007,,2011/01/10,to-read,to-read (#6),to-read,,,,0,0
544891,"Beastly (Beastly, #1)",Alex Flinn,"Flinn, Alex",,"=""0060874163""","=""9780060874162""",5,3.82,HarperTeen,Hardcover,336,2007,2007,,2011/01/10,,,read,,,,1,0
6587387,"Silver Borne (Mercy Thompson, #5)",Patricia Briggs,"Briggs, Patricia",,"=""044101819X""","=""9780441018192""",4,4.38,Ace Books,Hardcover,352,2010,2010,,2010/12/15,,,read,,,,1,0
3128411,"Bone Crossed (Mercy Thompson, #4)",Patricia Briggs,"Briggs, Patricia",,"=""1841496863""","=""9781841496863""",5,4.34,Orbit,Paperback,292,2009,2009,2010/12/20,2010/12/18,,,read,,,,1,0
128092,"The Pigman (The Pigman, #1)",Paul Zindel,"Zindel, Paul",,"=""0060757353""","=""9780060757359""",4,3.60,HarperTeen,Paperback,166,2005,1968,,2010/12/18,,,read,,,,1,0
7784,The Lorax,Dr. Seuss,"Seuss, Dr.",,"=""0679889108""","=""9780679889106""",4,4.34,Random House Childrens Books,Hardcover,72,1998,1971,,2010/12/15,,,read,,,,1,0
1412138,"Iron Kissed (Mercy Thompson, #3)",Patricia Briggs,"Briggs, Patricia",,"=""0441015662""","=""9780441015665""",5,4.34,Ace,Mass Market Paperback,287,2008,2008,2010/12/15,2010/12/12,,,read,,,,1,0
268917,"The Doll People (Doll People, #1)",Ann M. Martin,"Martin, Ann M.","Laura Godwin, HPFC, Brian Selznick","=""0786812400""","=""9780786812400""",4,4.05,"Little, Brown Books for Young Readers",Paperback,288,2003,2000,,2010/12/12,,,read,,,,1,0
231804,The Outsiders,S.E. Hinton,"Hinton, S.E.",,"=""""","=""""",4,4.12,Puffin Books (US/CAN),Mass Market Paperback,192,1997,1967,,2010/12/12,,,read,,,,1,0
285205,"Blood Bound (Mercy Thompson, #2)",Patricia Briggs,"Briggs, Patricia",,"=""0441014739""","=""9780441014736""",5,4.31,Ace,Mass Market Paperback,292,2007,2007,2010/12/11,2010/12/10,,,read,,,,1,0
4381,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",,"=""0307347974""","=""9780307347978""",5,3.97,DeBolsillo,Mass Market Paperback,158,2004,1953,,2010/12/10,,,read,,,,1,0
6501265,The Gate of Lake Forest,Ami Blackwelder,"Blackwelder, Ami",,"=""""","=""""",5,3.56,Eloquent Enraptures Publishing,Paperback,275,2011,2009,,2010/11/21,,,read,,,,1,0
71811,"Moon Called (Mercy Thompson, #1)",Patricia Briggs,"Briggs, Patricia",,"=""0441013813""","=""9780441013814""",4,4.15,Ace,Mass Market Paperback,288,2006,2006,2010/12/10,2010/11/19,,,read,,,,1,0
9522123,"The Invasion of 2020 (Shifter Evolutions, #1)",Ami Blackwelder,"Blackwelder, Ami",Magnolia Belle,"=""""","=""""",0,3.14,Eloquent Enraptures Publishing,Paperback,265,2011,2011,,2010/11/21,to-read,to-read (#5),to-read,,,,0,0
6339664,"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,"Fitzpatrick, Becca",,"=""1416989412""","=""9781416989417""",0,3.93,Simon & Schuster,Hardcover,391,2009,2009,,2010/11/21,to-read,to-read (#4),to-read,,,,0,0
3047851,"Wanted (Pretty Little Liars, #8)",Sara Shepard,"Shepard, Sara",,"=""0061566179""","=""9780061566172""",5,4.10,HarperTeen,Hardcover,261,2010,2010,,2010/11/21,,,read,,,,1,0
3047848,"Heartless (Pretty Little Liars, #7)",Sara Shepard,"Shepard, Sara",,"=""0061566152""","=""9780061566158""",5,4.03,Harper Teen,Hardcover,274,2010,2010,,2010/11/21,,,read,,,,1,0
3047849,"Killer (Pretty Little Liars, #6)",Sara Shepard,"Shepard, Sara",,"=""0061566128""","=""9780061566127""",5,4.01,HarperTeen,Library Binding,320,2009,2009,,2010/11/21,,,read,,,,1,0
3047850,"Wicked (Pretty Little Liars, #5)",Sara Shepard,"Shepard, Sara",,"=""006156608X""","=""9780061566080""",5,3.96,HarperTeen,Library Binding,312,2008,2008,,2010/11/21,,,read,,,,1,0
1537534,"Unbelievable (Pretty Little Liars, #4)",Sara Shepard,"Shepard, Sara",,"=""0060887397""","=""9780060887391""",5,4.00,HarperTeen,Hardcover,335,2008,2008,,2010/11/21,,,read,,,,1,0
162085,"Pretty Little Liars (Pretty Little Liars, #1)",Sara Shepard,"Shepard, Sara",,"=""0060887303""","=""9780060887308""",5,3.85,HarperTeen,Hardcover,286,2006,2006,,2010/11/21,,,read,,,,1,0
162089,"Flawless (Pretty Little Liars, #2)",Sara Shepard,"Shepard, Sara",,"=""0060887338""","=""9780060887339""",5,3.89,HarperTeen,Hardcover,330,2007,2007,,2010/11/21,,,read,,,,1,0
1651302,"Perfect (Pretty Little Liars, #3)",Sara Shepard,"Shepard, Sara",,"=""0060887370""","=""9780060887377""",5,3.95,HarperTeen,Paperback,298,2007,2007,,2010/11/21,,,read,,,,1,0
1629601,The Disreputable History of Frankie Landau-Banks,E. Lockhart,"Lockhart, E.",,"=""0786838183""","=""9780786838189""",4,3.81,"Little, Brown Books for Young Readers",Hardcover,345,2008,2008,,2010/11/21,,,read,,,,1,0
3975774,"Evermore (The Immortals, #1)",Alyson Noel,"Noel, Alyson",,"=""031253275X""","=""9780312532758""",5,3.59,St. Martin's Griffin,Paperback,301,2009,2009,2010/11/05,2010/11/05,,,read,"Pretty good love story, had me frustrated at points but that's what good books do to me :D.",,,1,0
3250465,"Jerk, California",Jonathan Friesen,"Friesen, Jonathan",,"=""0142412031""","=""9780142412039""",4,3.82,Speak,Paperback,327,2008,2008,2010/10/29,2010/10/22,,,read,,,,1,0
157055,"Once Upon a Marigold (Upon a Marigold, #1)",Jean Ferris,"Ferris, Jean",,"=""0152050841""","=""9780152050849""",5,4.00,"Harcourt, Inc.",Paperback,271,2004,2002,,2010/10/22,,,read,,,,1,0
18131,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",Madeleine L'Engle,"L'Engle, Madeleine",,"=""0440498058""","=""9780440498056""",4,3.98,Yearling Books,Paperback,211,1973,1962,,2010/10/22,,,read,,,,1,0
5899779,"Pride and Prejudice and Zombies (Pride and Prejudice and Zombies, #1)",Seth Grahame-Smith,"Grahame-Smith, Seth",Jane Austen,"=""1594743347""","=""9781594743344""",0,3.31,Quirk Classics,Paperback,320,2009,2009,,2010/10/22,to-read,to-read (#3),to-read,,,,0,0
514771,Right Behind You,Gail Giles,"Giles, Gail",,"=""0316166367""","=""9780316166362""",4,4.01,"Little, Brown Books for Young Readers",Hardcover,304,2007,2007,,2010/10/22,,,read,,,,1,0
16793,Stardust,Neil Gaiman,"Gaiman, Neil",,"=""0061142026""","=""9780061142024""",0,4.10,Harper Perennial,Paperback,248,2006,1999,,2010/10/22,to-read,to-read (#2),to-read,,,,0,0
13376,"The House of the Scorpion (Matteo Alacran, #1)",Nancy Farmer,"Farmer, Nancy",,"=""0689852231""","=""9780689852237""",5,4.08,Atheneum Books for Young Readers,Paperback,380,2004,2002,,2010/10/22,,,read,,,,1,0
10365,Where the Red Fern Grows,Wilson Rawls,"Rawls, Wilson",,"=""0375806814""","=""9780375806810""",3,4.11,Yearling,Mass Market Paperback,272,2000,1961,,2010/10/22,,,read,,,,1,0
78411,"The Bad Beginning (A Series of Unfortunate Events, #1)",Lemony Snicket,"Snicket, Lemony",Brett Helquist,"=""0439206472""","=""9780439206471""",4,4.00,"Scholastic, Inc.",Paperback,176,1999,1999,,2010/10/22,,,read,,,,1,0
24765,"Specials (Uglies, #3)",Scott Westerfeld,"Westerfeld, Scott",Rodrigo Corral,"=""0689865406""","=""9780689865404""",5,3.76,Simon Pulse,Hardcover,384,2006,2006,,2010/10/22,,,read,,,,1,0
9822,"Mrs. Frisby and the Rats of NIMH (Rats of NIMH, #1)",Robert C. O'Brien,"O'Brien, Robert C.",,"=""0689862202""","=""9780689862205""",4,4.16,Aladdin,Paperback,240,2003,1971,,2010/10/22,,,read,,,,1,0
357664,Because of Winn-Dixie,Kate DiCamillo,"DiCamillo, Kate",,"=""0763616052""","=""9780763616052""",4,4.09,Candlewick Press,Paperback,182,2001,2000,,2010/10/22,,,read,,,,1,0
17061,Coraline,Neil Gaiman,"Gaiman, Neil",Dave McKean,"=""0061139378""","=""9780061139376""",5,4.11,William Morrow Paperbacks,Paperback,176,2006,2002,,2010/10/22,,,read,,,,1,0
24768,"Pretties (Uglies, #2)",Scott Westerfeld,"Westerfeld, Scott",,"=""0689865392""","=""9780689865398""",5,3.84,Simon Pulse,Paperback,370,2005,2005,,2010/10/22,,,read,,,,1,0
439288,Speak,Laurie Halse Anderson,"Anderson, Laurie Halse",,"=""014131088X""","=""9780141310886""",4,4.04,Puffin,Paperback,202,2001,1999,,2010/10/22,,,read,,,,1,0
24770,"Uglies (Uglies, #1)",Scott Westerfeld,"Westerfeld, Scott",,"=""""","=""""",5,3.85,Simon Pulse,Paperback,425,2005,2005,,2010/10/22,,,read,,,,1,0
3636,"The Giver (The Giver, #1)",Lois Lowry,"Lowry, Lois",,"=""0385732554""","=""9780385732550""",3,4.12,Ember,Paperback,208,2006,1993,,2010/10/22,,,read,,,,1,0
370493,The Giving Tree,Shel Silverstein,"Silverstein, Shel",,"=""0060256656""","=""9780060256654""",5,4.38,HarperCollins Publishers,Hardcover,64,1964,1964,,2010/10/22,,,read,,,,1,0
10210,Jane Eyre,Charlotte Brontë,"Brontë, Charlotte",Michael Mason,"=""0142437204""","=""9780142437209""",0,4.15,Penguin,Paperback,532,2003,1847,,2010/10/22,to-read,to-read (#1),to-read,,,,0,0
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",2,4.47,Scholastic Inc,Hardcover,309,2003,1997,,2010/10/22,,,read,,,,1,0
18135,Romeo and Juliet,William Shakespeare,"Shakespeare, William",,"=""""","=""""",3,3.74,Washington Square Press,Mass Market Paperback,281,2002,1597,,2010/10/22,,,read,,,,1,0
30119,Where the Sidewalk Ends,Shel Silverstein,"Silverstein, Shel",,"=""0060513039""","=""9780060513030""",4,4.33,Harpercollins Childrens Books,Hardcover,176,2002,1974,,2010/10/22,,,read,,,,1,0
4671,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",,"=""""","=""""",4,3.93,Scribner,Paperback,180,1925,1925,,2010/10/22,,,read,,,,1,0
2657,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""""","=""""",3,4.26,Harper Perennial Modern Classics ,Paperback,323,2006,1960,,2010/10/22,,,read,,,,1,0